agent,game_num,score,record,mean_score
Random,3590,0,2,0.131
DQN,558,33,55,19.726
Random,3591,0,2,0.131
BFS,242,49,88,51.711
Random,3592,0,2,0.131
Random,3593,0,2,0.131
Random,3594,0,2,0.131
Random,3595,0,2,0.131
A*,245,64,90,51.343
DQN,559,20,55,19.726
Random,3596,0,2,0.131
Random,3597,0,2,0.131
Random,3598,0,2,0.131
Random,3599,0,2,0.131
Random,3600,0,2,0.131
Random,3601,0,2,0.131
DQN,560,28,55,19.741
Random,3602,0,2,0.131
Random,3603,0,2,0.131
Random,3604,2,2,0.132
BFS,243,64,88,51.761
Random,3605,0,2,0.131
Random,3606,0,2,0.131
Random,3607,0,2,0.131
A*,246,48,90,51.329
Random,3608,0,2,0.131
Random,3609,0,2,0.131
Random,3610,0,2,0.131
DQN,561,31,55,19.761
Random,3611,0,2,0.131
Random,3612,0,2,0.131
Random,3613,0,2,0.131
Random,3614,1,2,0.131
Random,3615,0,2,0.131
Random,3616,1,2,0.132
Random,3617,0,2,0.132
DQN,562,30,55,19.779
A*,247,37,90,51.271
Random,3618,0,2,0.132
Random,3619,0,2,0.132
Random,3620,0,2,0.131
BFS,244,53,88,51.766
Random,3621,0,2,0.131
DQN,563,22,55,19.783
Random,3622,0,2,0.131
Random,3623,0,2,0.131
Random,3624,0,2,0.131
Random,3625,0,2,0.131
Random,3626,1,2,0.132
A*,248,38,90,51.218
Random,3627,0,2,0.132
Random,3628,0,2,0.131
Random,3629,0,2,0.131
Random,3630,0,2,0.131
DQN,564,33,55,19.807
Random,3631,0,2,0.131
Random,3632,0,2,0.131
Random,3633,0,2,0.131
Random,3634,0,2,0.131
BFS,245,50,88,51.759
Random,3635,0,2,0.131
Random,3636,0,2,0.131
Random,3637,0,2,0.131
A*,249,36,90,51.157
Random,3638,0,2,0.131
Random,3639,0,2,0.131
DQN,565,24,55,19.814
Random,3640,0,2,0.131
Random,3641,0,2,0.131
Random,3642,0,2,0.131
Random,3643,0,2,0.131
Random,3644,0,2,0.131
Random,3645,0,2,0.131
Random,3646,0,2,0.131
Random,3647,0,2,0.131
Random,3648,0,2,0.131
Random,3649,0,2,0.131
Random,3650,0,2,0.131
Random,3651,0,2,0.131
DQN,566,49,55,19.866
Random,3652,1,2,0.131
BFS,246,64,88,51.809
Random,3653,0,2,0.131
Random,3654,0,2,0.131
DQN,567,12,55,19.852
Random,3655,0,2,0.131
Random,3656,1,2,0.131
A*,250,75,90,51.252
